store_name,product_name,category,inventory_level,reorder_point,gap_to_reorder_point,urgency,recommendation
Patna MG Road Store,Skipping Rope Classic,Sports,40.0,61,21.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Calculator Mini,Stationery,17.0,38,21.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Notebook Pack Mini,Stationery,19.0,40,21.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Woolen Sweater,Clothing,37.0,58,21.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Sunscreen Lotion Classic,Beauty,49.0,70,21.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Home Theatre Plus,Electronics,52.0,73,21.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Action Figure,Toys,41.0,61,20.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Coimbatore City Centre Store,Table Lamp,Home Decor,40.0,60,20.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Dumbbell Set Plus,Sports,73.0,93,20.0,🟢 Low — Standard Reorder,Reorder immediately
Guwahati Mall Outlet,Doll House Mini,Toys,61.0,81,20.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Toy Robot Classic,Toys,26.0,46,20.0,🟢 Low — Standard Reorder,Reorder immediately
Visakhapatnam Downtown Store,Football Plus,Sports,76.0,96,20.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Pet Bed Plus,Pet Supplies,43.0,63,20.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Coimbatore City Centre Store,Steel Cookware Set Plus,Kitchen,41.0,60,19.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Perfume Plus,Beauty,34.0,53,19.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Dining Table Mini,Furniture,11.0,30,19.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Biscuit Pack Plus,Groceries,43.0,62,19.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Photo Frame Set Plus,Home Decor,69.0,88,19.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chennai T Nagar Store,Storage Cabinet,Furniture,48.0,67,19.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Pet Grooming Kit Plus,Pet Supplies,41.0,60,19.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Coimbatore City Centre Store,Hair Oil Plus,Beauty,23.0,42,19.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Screen Protector,Electronics,30.0,48,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Bookshelf Mini,Furniture,15.0,33,18.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Calculator,Stationery,69.0,87,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Webcam HD,Electronics,45.0,63,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Mirror Frame,Home Decor,65.0,83,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Football,Sports,23.0,41,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Ethnic Kurti Classic,Clothing,68.0,86,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Face Serum Classic,Beauty,19.0,37,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Calculator Classic,Stationery,46.0,64,18.0,🟢 Low — Standard Reorder,Reorder immediately
Ranchi Mall Outlet,Sofa Set Classic,Furniture,23.0,41,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ahmedabad Mall Outlet,Coffee Table Classic,Furniture,37.0,55,18.0,🟢 Low — Standard Reorder,Reorder immediately
Chandigarh High Street Store,Coffee Powder 250g,Groceries,22.0,40,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Sketch Pen Set Plus,Stationery,57.0,75,18.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Formal Shirt Classic,Clothing,36.0,53,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Remote Car Classic,Toys,21.0,38,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Dumbbell Set Classic,Sports,66.0,83,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Air Conditioner Classic,Electronics,34.0,51,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Water Purifier Classic,Electronics,30.0,47,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Perfume Plus,Beauty,36.0,53,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Toy Kitchen Set,Toys,25.0,42,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chennai T Nagar Store,Electric Kettle Plus,Electronics,15.0,32,17.0,🟡 Medium — Reorder Now,Reorder immediately
Jaipur High Street Store,Console Table,Furniture,31.0,48,17.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Perfume Classic,Beauty,77.0,93,16.0,🟢 Low — Standard Reorder,Reorder immediately
Ranchi Mall Outlet,Dinner Set,Kitchen,83.0,99,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Bookshelf 5-Tier,Furniture,40.0,56,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Hoodie Classic,Clothing,65.0,81,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chennai T Nagar Store,TV Stand,Furniture,25.0,41,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Pet Bed Classic,Pet Supplies,35.0,51,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Blender Classic,Kitchen,62.0,78,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Sunflower Oil 1L,Groceries,39.0,55,16.0,🟢 Low — Standard Reorder,Reorder immediately
Guwahati Mall Outlet,Badminton Racket,Sports,24.0,40,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Pet Shampoo Classic,Pet Supplies,58.0,74,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Slime Kit,Toys,26.0,42,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Kite Set,Toys,35.0,51,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Building Blocks Mini,Toys,49.0,65,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Bed Frame Mini,Furniture,21.0,37,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Pulses 1kg Classic,Groceries,20.0,36,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Denim Jacket,Clothing,58.0,74,16.0,🟢 Low — Standard Reorder,Reorder immediately
Chennai T Nagar Store,Hoodie,Clothing,56.0,72,16.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Salt 1kg Classic,Groceries,35.0,50,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Mirror Frame Plus,Home Decor,40.0,55,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Cycling Helmet Classic,Sports,55.0,70,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Knife Set Classic,Kitchen,69.0,84,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Electric Kettle Plus,Electronics,17.0,32,15.0,🟢 Low — Standard Reorder,Reorder immediately
Kochi Ring Road Store,Mixer Grinder Mini,Kitchen,36.0,51,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Face Wash Plus,Beauty,47.0,62,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Curtain Set Plus,Home Decor,49.0,64,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Sketch Pen Set,Stationery,44.0,59,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Memory Card 64GB,Electronics,35.0,50,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Instant Noodles Pack Classic,Groceries,15.0,30,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Scented Candle Pack Plus,Home Decor,70.0,85,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Snack Combo Pack Classic,Groceries,54.0,69,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chennai T Nagar Store,School Bag Plus,Stationery,67.0,82,15.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Cricket Bat Mini,Sports,65.0,79,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Organic Honey 500g,Groceries,32.0,46,14.0,🟢 Low — Standard Reorder,Reorder immediately
Chandigarh High Street Store,Wireless Keyboard,Electronics,33.0,47,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Sunscreen Lotion Plus,Beauty,22.0,36,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Pet Shampoo Plus,Pet Supplies,83.0,97,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Electric Kettle Plus,Electronics,18.0,32,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Silk Saree Classic,Clothing,17.0,31,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Football,Sports,27.0,41,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Mirror Frame Plus,Home Decor,41.0,55,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Instant Noodles Pack Classic,Groceries,16.0,30,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Cargo Pants,Clothing,26.0,40,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Decorative Vase Plus,Home Decor,29.0,43,14.0,🟢 Low — Standard Reorder,Reorder immediately
Guwahati Mall Outlet,Wall Clock Plus,Home Decor,45.0,59,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Gym Gloves Classic,Sports,19.0,33,14.0,🟢 Low — Standard Reorder,Reorder immediately
Vadodara MG Road Store,Salt 1kg,Groceries,66.0,80,14.0,🟢 Low — Standard Reorder,Reorder immediately
Nashik Station Road Store,Winter Jacket Plus,Clothing,32.0,46,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Non-Stick Pan,Kitchen,18.0,32,14.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Table Lamp,Home Decor,47.0,60,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Building Blocks Classic,Toys,59.0,72,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Chopping Board,Kitchen,41.0,54,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Wall Clock,Home Decor,34.0,47,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Pressure Cooker Mini,Kitchen,53.0,66,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,TV Stand,Furniture,28.0,41,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Biscuit Pack Classic,Groceries,25.0,38,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Microwave Oven Plus,Electronics,28.0,41,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Hair Oil Mini,Beauty,61.0,74,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Bird Cage,Pet Supplies,53.0,66,13.0,🟢 Low — Standard Reorder,Reorder immediately
Pune Central Store,Photo Frame Set,Home Decor,76.0,89,13.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Skipping Rope Classic,Sports,49.0,61,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Mirror Frame Classic,Home Decor,53.0,65,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Shampoo 500ml,Beauty,69.0,81,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Yoga Mat,Sports,26.0,38,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Study Table Classic,Furniture,19.0,31,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,LED Strip Lights,Electronics,41.0,53,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Laptop Table,Furniture,66.0,78,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Skipping Rope Plus,Sports,18.0,30,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Action Figure Mini,Toys,38.0,50,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Tiffin Box Mini,Kitchen,56.0,68,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Blender,Kitchen,39.0,51,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Photo Frame Set Mini,Home Decor,63.0,75,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Instant Noodles Pack Classic,Groceries,18.0,30,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Dog Food 3kg Mini,Pet Supplies,26.0,38,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Air Conditioner Plus,Electronics,60.0,72,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ahmedabad Mall Outlet,Folding Chair,Furniture,57.0,69,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Jaggery 500g,Groceries,59.0,71,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Ball Pen Set Classic,Stationery,40.0,52,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Fruit Juice 1L Plus,Groceries,54.0,66,12.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Air Conditioner Classic,Electronics,40.0,51,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Yoga Mat,Sports,27.0,38,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Rubik Cube,Toys,71.0,82,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,File Folder Pack Classic,Stationery,22.0,33,11.0,🟢 Low — Standard Reorder,Reorder immediately
Chandigarh High Street Store,Coffee Table Mini,Furniture,77.0,88,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,TV Unit Mini,Furniture,40.0,51,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Mixer Grinder,Kitchen,50.0,61,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Calculator Classic,Stationery,53.0,64,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Extension Board,Electronics,64.0,75,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Lipstick Classic,Beauty,62.0,73,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Dining Table Mini,Furniture,19.0,30,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Bottled Water 1L Plus,Groceries,86.0,97,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Pet Leash,Pet Supplies,23.0,34,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Rain Jacket,Clothing,35.0,46,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Sketch Pen Set Plus,Stationery,64.0,75,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Wireless Keyboard,Electronics,36.0,47,11.0,🟢 Low — Standard Reorder,Reorder immediately
Hyderabad Central Plaza,Doll House Mini,Toys,70.0,81,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Pet Leash Mini,Pet Supplies,32.0,43,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Football Classic,Sports,35.0,46,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ahmedabad Mall Outlet,Mixer Grinder Mini,Kitchen,40.0,51,11.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Electric Kettle Plus,Electronics,22.0,32,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Smart Watch Band,Electronics,50.0,60,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Tiffin Box Mini,Kitchen,58.0,68,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Sugar 1kg Classic,Groceries,73.0,83,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Geometry Box Classic,Stationery,74.0,84,10.0,🟢 Low — Standard Reorder,Reorder immediately
Lucknow City Centre Store,Laptop Table,Furniture,68.0,78,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Silk Saree Plus,Clothing,47.0,57,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Salt 1kg Plus,Groceries,61.0,71,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Ball Pen Set Classic,Stationery,42.0,52,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Remote Car Classic,Toys,28.0,38,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Sofa Set Mini,Furniture,71.0,81,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ahmedabad Mall Outlet,Pet Bed Mini,Pet Supplies,22.0,32,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Shampoo 500ml,Beauty,71.0,81,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Scented Candle Pack Classic,Home Decor,87.0,97,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Dog Food 3kg Mini,Pet Supplies,28.0,38,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Toy Train Set,Toys,33.0,43,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Bedside Table,Furniture,59.0,69,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Bluetooth Adapter,Electronics,34.0,44,10.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Mixer Grinder Mini,Kitchen,42.0,51,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Pet Grooming Kit,Pet Supplies,89.0,98,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Skipping Rope Classic,Sports,52.0,61,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Basmati Rice 5kg Classic,Groceries,37.0,46,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Cricket Bat Classic,Sports,39.0,48,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Instant Noodles Pack Classic,Groceries,21.0,30,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Smart Watch Band,Electronics,51.0,60,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Chew Toy Classic,Pet Supplies,41.0,50,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Sunscreen Lotion Plus,Beauty,27.0,36,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Hair Oil,Beauty,79.0,88,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Steel Cookware Set Plus,Kitchen,51.0,60,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Face Serum Plus,Beauty,72.0,81,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Bookshelf Classic,Furniture,77.0,86,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Wireless Earbuds,Electronics,45.0,54,9.0,🟢 Low — Standard Reorder,Reorder immediately
Pune Central Store,Rain Jacket,Clothing,37.0,46,9.0,🟢 Low — Standard Reorder,Reorder immediately
Lucknow City Centre Store,Cargo Pants Classic,Clothing,84.0,93,9.0,🟢 Low — Standard Reorder,Reorder immediately
Hyderabad Central Plaza,Hair Dryer,Beauty,66.0,75,9.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Chopping Board Plus,Kitchen,43.0,51,8.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Shampoo 500ml Mini,Beauty,77.0,85,8.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Mixer Grinder Mini,Kitchen,43.0,51,8.0,🟢 Low — Standard Reorder,Reorder immediately
Guwahati Mall Outlet,Badminton Racket Mini,Sports,47.0,55,8.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Coimbatore City Centre Store,Power Bank Classic,Electronics,30.0,38,8.0,🟢 Low — Standard Reorder,Reorder immediately
Chennai T Nagar Store,Talcum Powder Classic,Beauty,38.0,46,8.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Geometry Box Mini,Stationery,44.0,52,8.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Photo Frame Set Mini,Home Decor,67.0,75,8.0,🟢 Low — Standard Reorder,Reorder immediately
Delhi Connaught Place Store,Fruit Juice 1L Plus,Groceries,58.0,66,8.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
